host_since,neighbourhood,city,accommodates,price
2011-12-03,Buttes-Montmartre,Paris,2,53
2013-11-29,Buttes-Montmartre,Paris,2,120
2014-07-31,Elysee,Paris,2,89
2013-12-17,Vaugirard,Paris,2,58
2014-12-14,Passy,Paris,2,60
2011-04-13,Temple,Paris,2,95
2013-08-09,Popincourt,Paris,2,80
2013-04-14,Popincourt,Paris,2,59
2015-06-14,Buttes-Chaumont,Paris,2,80
2014-09-02,Opera,Paris,2,90
2015-06-04,Gobelins,Paris,2,60
2014-08-13,Hotel-de-Ville,Paris,2,80
2014-07-17,Pantheon,Paris,2,61
2013-11-19,Enclos-St-Laurent,Paris,2,145
2015-12-30,Elysee,Paris,2,35
2015-05-31,Popincourt,Paris,2,39
2015-02-28,Batignolles-Monceau,Paris,2,55
2016-03-21,Popincourt,Paris,2,55
2013-04-23,Enclos-St-Laurent,Paris,2,57
2014-10-31,Gobelins,Paris,2,55
2014-05-30,Batignolles-Monceau,Paris,2,51
2012-11-18,Opera,Paris,2,80
2014-08-19,Opera,Paris,2,70
2013-01-12,Luxembourg,Paris,2,90
2014-01-06,Temple,Paris,2,89
2013-11-18,Reuilly,Paris,2,42
2013-10-22,Batignolles-Monceau,Paris,2,35
2013-06-11,Enclos-St-Laurent,Paris,2,60
2013-02-01,Buttes-Montmartre,Paris,2,50
2014-07-03,Buttes-Montmartre,Paris,2,70
2015-07-15,Vaugirard,Paris,2,50
2016-07-29,Luxembourg,Paris,2,100
2015-03-16,Temple,Paris,2,109
2015-03-19,Gobelins,Paris,2,68
2015-02-25,Pantheon,Paris,2,75
2016-10-18,Vaugirard,Paris,2,65
2014-01-05,Opera,Paris,2,100
2016-11-02,Pantheon,Paris,2,40
2013-01-11,Passy,Paris,2,80
2014-05-19,Popincourt,Paris,2,109
2015-02-15,Popincourt,Paris,2,91
2015-04-24,Menilmontant,Paris,2,40
2012-05-22,Enclos-St-Laurent,Paris,2,60
2015-03-23,Buttes-Montmartre,Paris,2,60
2013-08-06,Popincourt,Paris,2,119
2014-05-25,Batignolles-Monceau,Paris,2,52
2013-02-25,Pantheon,Paris,2,70
2013-06-09,Popincourt,Paris,2,70
2015-07-29,Vaugirard,Paris,2,30
2014-03-02,Menilmontant,Paris,2,55
2014-12-23,Buttes-Montmartre,Paris,2,51
2017-06-14,Buttes-Montmartre,Paris,2,200
2016-07-21,Observatoire,Paris,2,50
2013-02-15,Popincourt,Paris,2,90
2016-04-02,Enclos-St-Laurent,Paris,2,59
2012-09-21,Enclos-St-Laurent,Paris,2,70
2017-05-24,Buttes-Montmartre,Paris,2,60
2014-08-17,Menilmontant,Paris,2,82
2015-11-10,Buttes-Chaumont,Paris,2,52
2016-03-15,Popincourt,Paris,2,50
2013-12-18,Buttes-Montmartre,Paris,2,50
2018-05-28,Popincourt,Paris,2,45
2015-02-03,Reuilly,Paris,2,90
